day,turnover
2019-12-29,55562.149999999994
2019-12-30,63365.770000000004
2019-12-31,41427.009999999995
2020-01-01,55198.740000000013
2020-01-02,83331.320000000065
2020-01-03,65827.73000000001
2020-01-04,67843.59
2020-01-05,100168.48000000004
2020-01-06,109224.36
2020-01-07,64324.210000000036
2020-01-08,97278.01
2020-01-09,82828.560000000027
2020-01-10,64562.350000000035
2020-01-11,61935.020000000004
2020-01-12,97139.54
2020-01-13,104580.11000000002
2020-01-14,77275.910000000033
2020-01-15,70691.880000000019
2020-01-16,64417.590000000011
2020-01-17,52734.720000000008
2020-01-18,52897.01
2020-01-19,91314.460000000021
2020-01-20,106357.83000000003
2020-01-21,58394.55
2020-01-22,59233.54
2020-01-23,54622.790000000008
2020-01-24,45768.909999999989
2020-01-25,49434.729999999989
2020-01-26,86474.290000000008
2020-01-27,68418.580000000031
2020-01-28,59735.19999999999
2020-01-29,63592.82
2020-01-30,60395.670000000013
2020-01-31,56206.630000000005
2020-02-01,58280.3
2020-02-02,98033.179999999978
2020-02-03,78802.429999999964
2020-02-04,56331.37
2020-02-05,64061.100000000006
2020-02-06,55147.07
2020-02-07,45399.15
2020-02-08,48013.74000000002
2020-02-09,77414.73
2020-02-10,80936.669999999969
2020-02-11,50400.27
2020-02-12,54529.420000000006
2020-02-13,50475.219999999994
2020-02-14,38440.400000000009
2020-02-15,38898.91
2020-02-16,77179.739999999962
2020-02-17,66904.5
2020-02-18,56535.430000000008
2020-02-19,55762.87
2020-02-20,52301.059999999983
2020-02-21,43021.55999999999
2020-02-22,40534.04
2020-02-23,79482.200000000012
2020-02-24,105080.91
2020-02-25,83778.11
2020-02-26,105207.70999999996
2020-02-27,67498.439999999973
2020-02-28,65529.650000000009
2020-02-29,69647.88
2020-03-01,101302.49999999997
2020-03-02,101007.15999999997
2020-03-03,83071.65999999996
2020-03-04,104016.34999999996
2020-03-05,109032.69999999992
2020-03-06,62451.109999999986
2020-03-07,58546.330000000016
2020-03-08,88442.689999999973
2020-03-09,91666.139999999941
2020-03-10,78499.209999999992
2020-03-11,79936.309999999983
2020-03-12,124116.29000000001
2020-03-13,139789.23000000007
2020-03-14,137211.57000000004
2020-03-15,158024.10999999981
2020-03-16,282475.46999999968
2020-03-17,142346.52000000014
2020-03-18,117006.91000000008
2020-03-19,112186.02000000006
2020-03-20,150702.2900000001
2020-03-21,139506.38000000006
2020-03-22,137450.68999999997
2020-03-23,141306.37000000005
2020-03-24,151118.06
2020-03-25,156329.25999999992
2020-03-26,114195.44999999998
2020-03-27,126971.46999999991
2020-03-28,117659.77000000005
2020-03-29,114703.00000000001
2020-03-30,144825.59000000005
2020-03-31,120178.68000000007
2020-04-01,123526.03999999996
2020-04-02,71438.540000000023
2020-04-03,84859.360000000044
2020-04-04,89996.430000000051
2020-04-05,81294.200000000026
2020-04-06,83957.550000000017
2020-04-07,81541.390000000029
2020-04-08,85193.830000000045
2020-04-09,88271.980000000025
2020-04-10,85663.600000000035
2020-04-11,79637.74
2020-04-12,80226.040000000023
2020-04-13,87580.169999999969
2020-04-14,84208.320000000022
2020-04-15,87846.43
2020-04-16,87388.25999999998
2020-04-17,59037.76
2020-04-18,60974.050000000017
2020-04-19,57072.390000000014
2020-04-20,58414.179999999978
2020-04-21,63562.28
2020-04-22,61075.28
2020-04-23,58664.930000000015
2020-04-24,59317.740000000005
2020-04-25,82993.57
2020-04-26,79710.770000000019
2020-04-27,151574.57000000007
2020-04-28,91685.98000000001
2020-04-29,99629.0
2020-04-30,117083.11
2020-05-01,116923.40000000005
2020-05-02,117988.33000000003
2020-05-03,118413.01
2020-05-04,111291.07000000002
2020-05-05,98037.680000000022
2020-05-06,99951.560000000012
2020-05-07,87336.36
2020-05-08,99318.410000000033
2020-05-09,95762.420000000013
2020-05-10,120457.68999999989
2020-05-11,101708.64000000001
2020-05-12,82806.09
2020-05-13,85033.610000000015
2020-05-14,86451.199999999983
2020-05-15,75083.35
2020-05-16,71052.290000000037
2020-05-17,84115.010000000024
2020-05-18,96299.450000000026
2020-05-19,80551.8
2020-05-20,70435.010000000024
2020-05-21,95049.29
2020-05-22,80948.090000000026
